&amp;	pronounce
actually write in	sign his copy of
adapt	be central figure of
also have really fun song about	select
appear on	direct film version of
be bear	keep quote
be bear	only obey
be central figure of	say nothing new in
be consider good leader in	be clear thrust of
be direct spin-off of	direct reader to
be direct spin-off of	play viola in
be drive far more by	provide little context for
be insult in	provide his own translation of
be insult in	win third prize with
be oldest man in	speak in
be only one in	pen
be sort of	first divide
be state in	focus in
be state in	mention in
be state in	retreat to
be write	also make distinction in
be write	have earlier write hostile analysis of
be write	write
believe in	be state in
believe in	cite
believe in	provide famous example in
buy rights for	be your favorite person in
buy rights for	mean to
can be oldest man in	be come in
can be oldest man in	teach in
condemn in	appear on
condemn in	draft
continue to work on	mean to
continue to work on	select
continue to work on	understand
defend	wrote
design	also make distinction in
design	be only one mention in
design	occur in
design	pen
direct reader to	die with
direct reader to	select
discount	have earlier write hostile analysis of
do to	borrow from
do to	use theme again with
draft	can be oldest man in
explain	emphasise
explore	direct all-female production of
fight	win special pulitzer prize for
have be make universally obligatory by	speak in
have earlier write hostile analysis of	insist in
have same vision of	be come in
have same vision of	provide famous example in
have write excellent guide to	lose his leg to
insist in	return in
instruct in	be consider good leader in
instruct in	later claim in
instruct in	provide famous example in
issue	select
later claim in	be state in
later claim in	be to play
later claim in	select
lose his leg to	write his story in
make frequent reference to	famously write in
make frequent reference to	win special pulitzer prize for
mean to	appear on
mean to	use first line of
mention greek game in	promise in
mention greek game in	provide his own translation of
mention in	run
occur in	believe in
only obey	be character in
originally create	have earlier write hostile analysis of
outline in	be clear thrust of
pen	leave
perform miracle in	write preface to
play match in	work on
promise in	direct reader to
pronounce	win third prize with
provide little context for	join cast of
publish	further argue in
read from	also have really fun song about
recount in	return in
release	first divide
say nothing new in	direct all-female production of
sign his copy of	make frequent reference to
speak in	be 666th name in
speak in	should do
suggest in	be consider good leader in
summarize	write about
take up in	publish
understand	die with
understand	have render
use many example from	explain
win for	be only one in
win third prize with	be consider good leader in
would loosely follow storyline of	be only one in
write about	be bear
write book of	retreat to
write first poem of	be only one mention in
write his story in	join cast of
write of	be sort of
write part of	be character in
write part of	direct reader to
write part of	invite
write some of	do to
wrote	close
wrote	continue to work on
