actually annex	be second president of
actually annex	govern
actually annex	have be bring from
again invade	be there in
again invade	die in
again invade	will come into
also come into	be also largest city of
also flee to	govern
also share border with	forgive
announce sweeping deal with	thus turn its attention to
be 12th largest foreign investor in	offer
be ancient school of	be five hour from
be ancient school of	be however stunt in
be christians of	be enslave in
be christians of	be language speak in
be christians of	march out of
be common in	will come into
be enslave in	smite
be eventually take to	be province of
be first make in	be fourth largest trade partner of
be first make in	launch preemptive strike against
be form in	be very scarce material in
be form in	have successful career in
be fourth largest trade partner of	defeat
be go on in	have come to
be go on in	would later become president of
be grand priestess of	be to attack
be grand priestess of	would later become president of
be hold in	be important city in
be hold in	lodge protest with
be important city in	be very specialised art in
be just south of	have be explore
be last pharaoh of	would later become president of
be mainly	be very scarce material in
be mainly	make his way back to
be make legal in	thereby join
be national airline of	be there in
be poetical name for	be second-most-admired leader in
be queen of	be grand priestess of
be queen of	have be explore
be quite thing in	become hostile to
be rampant in	thereby join
be second president of	modernize
be send consular team from	have be attest to
be send consular team from	want control of
be state religion of	also flee to
be third largest city in	be very specialised art in
be to attack	be be use in
be to attack	help
be town in	forgive
be very scarce material in	be town in
be very specialised art in	be poetical name for
be want in	send down to
conclude peace treaty with	have be bring from
continue to destroy	be also largest city of
continue to destroy	be be use in
defeat	be go on in
fight	be make legal in
govern	move his family to
have 60 percent of	be make legal in
have 60 percent of	have land in
have allow	be ancient school of
have allow	be send consular team from
have allow	be state religion of
have be	may chastise
have be	will attack
have be attest to	have set out from
have be attest to	spend his early childhood year in
have be bring from	also come into
have be explore	have deliver israel from
have be locate in	become hostile to
have enter	have long tradition in
have improve relation with	be rampant in
have journey to	will be interview in
have launch pre-emptive strike against	have be explore
have offer to help	have set out from
have strong regional dimension in	be province of
have successful career in	be real capital of
have successful career in	increasingly become official language in
have successful career in	launch its first counterattack against
help	work on
humble	be fourth largest trade partner of
increasingly become official language in	have make peace with
launch its first counterattack against	die in
launch its first counterattack against	generally support
leave land of	be hold in
make his way back to	be archaeological site in
make his way back to	have battle for
march out of	be common thing in
march out of	have successful career in
move his family to	have recently defeat french force in
say	launch preemptive strike against
seek to firmly establish	be fourth largest trade partner of
seek to firmly establish	continue to destroy
seek to firmly establish	march out of
send down to	be form in
send down to	have recently defeat french force in
send down to	want control of
sign peace accord with	be mainly
smite	be unique year in
smite	will send you back to
spend forty year in	be just south of
spend his early childhood year in	be second-most-admired leader in
thereby join	have offer to help
want control of	sign peace accord with
will attack	announce sweeping deal with
will attack	have make peace with
will make	increasingly become official language in
work on	be take into
would later become president of	have journey to
