be back as	be set around
be bigger draw than	endorse
be bigger draw than	return as
be completely cgi	be film in
be completely cgi	have be cast as
be completely cgi	will return as
be completely cgi	win
be descendant of	wear in
be descendant of	win
be film	meet
be film	portray
be film	star as
be film	star in
be for	be bigger draw than
be for	go over to
be head to	follow up
be head to	play role of
be head to	want
be in	endorse
be in	express interest in
be play	will once again be direct by
be play	win oscar for
be release on	die in
be release on	play
be release on	will play
be save grace of	be
be save grace of	be film
be save grace of	first encounter
be save grace of	lose weight for
be set around	first encounter
be year ago in	will play
deliver astounding performance as	will return as
die in	be play
die in	portray
discuss character of	want
do	star in
do in	lose weight for
endorse	be direct by
endorse	be release on
endorse	portray
explain to	be also firm believer in
explain to	is
express interest in	do in
get	go over to
get	have be cast as
get	tell
give brilliant performance as	do
give brilliant performance as	go from
have be cast as	be about to marry
have be cast as	die in
have be compare to	want
is	be
is	have be compare to
is	will play
is	will return as
lose weight for	first encounter
lose weight for	have be compare to
lose weight for	want
meet	discuss character of
meet	thank goodness for
play	will present
play	will reprise his role as
play role of	first encounter
portray	first encounter
really use	be set around
really use	star in
really use	will once again be direct by
really use	will return as
reprise his role as	do in
reprise his role as	get
reprise his role as	star in
send to	will serve as
serve as	be head to
serve as	reprise his role as
so be	be direct by
so be	go from
so be	go over to
so be	will once again be direct by
so be	will reprise his role as
star as	do in
star as	will serve as
star in	will induct
thank goodness for	play role of
thank goodness for	win
want	follow up
want	star in
want	will induct
wear in	play
wear in	will present
will once again be direct by	be also firm believer in
will once again be direct by	be back as
will once again be direct by	do in
will once again be direct by	lose weight for
will present	star as
will present	will play
will reprise his role as	give brilliant performance as
will return as	star as
will return as	wear in
will return as	win oscar for
win	star as
win for	endorse
win for	explain to
win for	get
win oscar for	be head to
win oscar for	win
