be	be double-agent working for
be able to lie to	be cast as
be able to lie to	be same person as
be able to lie to	be try to bring
be able to lie to	be with
be able to lie to	try to kill
be be torture by	cause
be be torture by	love
be be torture by	refuse to give
be double-agent working for	appear shortly after
be double-agent working for	be traitor to
be double-agent working for	first tell
be double-agent working for	later say
be dueling with	be still work with
be fight	believe
be fight	defeat
be follower of	say to
be follower of	state
be important servant of	be
be important servant of	be with
be loyal follower of	be same person as
be loyal follower of	be still work with
be now tell	be work for
be only one to defeat	think
be same person as	join
be spy on	be cast as
be still work with	be follower of
be still work with	will turn on
be traitor to	be able to lie to
be traitor to	will defeat
be try to bring	think
be with	say to
be work for	be still work with
be work for	know
become	will be play
become more precise about	be loyal to
become more precise about	refuse to give
beg	meet with
believe	explain to
betray	establish
can summon	later say
cause	later say
could kill	happen with
could kill	will play
defeat	have tell
defeat	kill
defeat	will kill
describe	cause
duel with	be loyal follower of
duel with	tell
establish	have defeat
explain to	be
father	establish
father	plainly tell
finally admit	be with
finally admit	kill
first tell	battle
first tell	later say
give	describe
give	want
happen with	be be torture by
happen with	say
happen with	think
have be kill by	be only one to defeat
have defeat	find
have defeat	first tell
have tell	be kill by
have tell	duel with
inform	have be kill by
kill	form to fight
kill	nearly kill
later say	kill
leave	tell
look at	finally admit
look at	make
love	think
love	will play
make	be able to lie to
make	be still work against
make	can summon
meet	will defeat
meet with	cause
meet with	love
nearly kill	be try to bring
plainly tell	join
play	become
play	describe
play	establish
play	form to fight
refer to	want
rejoin	father
say	cause
say	refer to
say to	be cast as
say to	leave
state	do return to
state	say
try to kill	give
try to kill	will kill
will defeat	could kill
will defeat	father
will defeat	know
will defeat	say to
will face	do return to
will face	have
will kill	father
will play	duel with
will play	find
will turn on	make
