appear shortly after	become
appear shortly after	do amazing job as
battle	happen with
battle	hate
be	be be torture by
be	father
be able to lie to	become more precise about
be be torture by	have be kill by
be double-agent working for	hate
be fight	be still work against
be fight	later say
be fight	say to
be important servant of	let alone
be important servant of	rejoin
be loyal follower of	look at
be loyal follower of	refer to
be loyal follower of	tell
be loyal to	later say
be now tell	finally admit
be now tell	leave
be same person as	will kill
be spy on	say
be spy on	will kill
be still work against	believe
be still work against	refer to
be still work with	betray
be try to bring	be be torture by
be try to bring	be still work with
be try to bring	state
be work against	refer to
be work for	be important servant of
be work for	betray
become	be follower of
become more precise about	defeat
become more precise about	know
become more precise about	rejoin
beg	think
believe	cause
can summon	have be kill by
could kill	try to kill
could kill	will defeat
defeat	be important servant of
defeat	join
die kill	be cast as
die kill	be traitor to
die kill	meet
do amazing job as	be work against
do return to	be still work against
do return to	father
duel with	be spy on
duel with	explain to
explain to	establish
explain to	tell
finally admit	give
find	happen with
find	have be kill by
find	think
form to fight	betray
form to fight	know
form to fight	later say
give	be
give	defeat
give	make
happen with	be follower of
happen with	be loyal to
hate	do amazing job as
hate	father
hate	play
hate	will turn on
have	be traitor to
have	state
have tell	could kill
inform	be loyal follower of
join	establish
kill	be able to lie to
know	be work for
know	let alone
later say	be spy on
later say	hate
leave	happen with
look at	find
love	be fight
love	duel with
love	say to
meet	beg
meet	betray
meet with	be kill by
meet with	die kill
nearly kill	look at
now know	refer to
plainly tell	be fight
play	say
refer to	meet
refuse to give	be spy on
refuse to give	meet with
say	be only one to defeat
state	be with
state	duel with
state	say
tell	be same person as
think	join
try to kill	find
will defeat	be important servant of
will face	battle
will face	rejoin
will kill	believe
will play	be be torture by
will play	be dueling with
will play	refer to
will turn on	meet with
